cor_z,cor_r,comp_hit_z,comp_hit_r,quality,rank,is right,is chosen
81.75,7.805558681488037,81.75,7.7326536,-0.07290506362915039,-2.6368067,[9],False,True
81.75,7.805558681488037,81.8,7.8001146,-0.05029853739128676,-2.637862,[7],False,False
81.75,7.805558681488037,81.75,7.8055587,-0.0,-2.6374521,[8],True,False
81.75,7.805558681488037,82.25,7.810312,-0.5000225915708436,-2.6420822,[0],False,False
81.75,7.805558681488037,82.2,7.8492346,-0.4521115322847965,-2.6419668,[1],False,False
81.75,7.805558681488037,81.75,7.873478,-0.06791925430297852,-2.6380515,[6],False,False
81.75,7.805558681488037,81.75,7.8798995,-0.0743408203125,-2.6381094,[5],False,False
81.75,7.805558681488037,81.8,7.893471,-0.10113772523071689,-2.6386883,[4],False,False
81.75,7.805558681488037,81.8,7.89579,-0.10316013808346128,-2.6387084,[3],False,False
81.75,7.805558681488037,81.8,7.9043427,-0.11071846228240062,-2.6387842,[2],False,False
95.75,9.154138565063477,96.2,8.838343,-0.5497493091375648,-11.9096575,[1],False,False
95.75,9.154138565063477,95.75,8.930076,-0.22406291961669922,-11.892506,[9],False,True
95.75,9.154138565063477,95.75,8.982763,-0.17137527465820312,-11.892842,[8],False,False
95.75,9.154138565063477,95.75,9.013502,-0.14063644409179688,-11.893042,[7],False,False
95.75,9.154138565063477,95.75,9.154139,-0.0,-11.893942,[6],True,False
95.75,9.154138565063477,95.8,9.162938,-0.05077142224364032,-11.8959465,[3],False,False
95.75,9.154138565063477,96.2,9.168187,-0.4502161879862648,-11.91158,[0],False,False
95.75,9.154138565063477,95.8,9.215138,-0.07887515047051917,-11.896283,[2],False,False
95.75,9.154138565063477,95.75,9.224614,-0.07047557830810547,-11.894392,[5],False,False
95.75,9.154138565063477,95.75,9.225332,-0.07119369506835938,-11.894399,[4],False,False
109.80000305175781,10.509719848632812,109.75,9.884158,-0.62755698022041,-10.083597,[9],False,True
109.80000305175781,10.509719848632812,109.75,9.887924,-0.6238029663985042,-10.08365,[8],False,False
109.80000305175781,10.509719848632812,109.75,9.95906,-0.5529257523928035,-10.08464,[7],False,False
109.80000305175781,10.509719848632812,110.2,9.971904,-0.6702545921920066,-10.09825,[2],False,False
109.80000305175781,10.509719848632812,110.2,10.117048,-0.5605230512265795,-10.100272,[1],False,False
109.80000305175781,10.509719848632812,110.25,10.1324625,-0.5872140660555087,-10.101983,[0],False,False
109.80000305175781,10.509719848632812,109.8,10.444792,-0.06492805480957031,-10.092904,[6],False,False
109.80000305175781,10.509719848632812,109.8,10.50972,-0.0,-10.09381,[5],True,False
109.80000305175781,10.509719848632812,109.8,10.531285,-0.02156543731689453,-10.09411,[4],False,False
109.80000305175781,10.509719848632812,109.8,10.581076,-0.07135581970214844,-10.094805,[3],False,False
129.8000030517578,12.439018249511719,129.8,10.957526,-1.481492042541504,-6.1950183,[9],False,True
129.8000030517578,12.439018249511719,129.8,11.012783,-1.4262351989746094,-6.195393,[8],False,False
129.8000030517578,12.439018249511719,129.8,11.017244,-1.421773910522461,-6.195424,[7],False,False
129.8000030517578,12.439018249511719,129.8,11.022566,-1.416452407836914,-6.19546,[6],False,False
129.8000030517578,12.439018249511719,129.8,11.1139965,-1.325021743774414,-6.196083,[5],False,False
129.8000030517578,12.439018249511719,129.8,11.129384,-1.3096342086791992,-6.196187,[4],False,False
129.8000030517578,12.439018249511719,129.8,11.169509,-1.2695093154907227,-6.196461,[3],False,False
129.8000030517578,12.439018249511719,129.8,11.295733,-1.143284797668457,-6.1973195,[2],False,False
129.8000030517578,12.439018249511719,130.2,11.48922,-1.030588408319964,-6.204499,[0],False,False
129.8000030517578,12.439018249511719,129.8,11.506929,-0.9320888519287109,-6.1987567,[1],False,False
149.8000030517578,14.36609172821045,149.8,11.201613,-3.164478302001953,-3.5131817,[9],False,True
149.8000030517578,14.36609172821045,149.8,11.205206,-3.160885810852051,-3.5131834,[8],False,False
149.8000030517578,14.36609172821045,149.8,11.365256,-3.000835418701172,-3.5132391,[7],False,False
149.8000030517578,14.36609172821045,150.2,12.002378,-2.3973184005955717,-3.5217621,[1],False,False
149.8000030517578,14.36609172821045,149.8,12.1600065,-2.206085205078125,-3.5135152,[6],False,False
149.8000030517578,14.36609172821045,149.8,12.287676,-2.078415870666504,-3.5135589,[5],False,False
149.8000030517578,14.36609172821045,149.8,12.627489,-1.738602638244629,-3.5136786,[4],False,False
149.8000030517578,14.36609172821045,149.8,12.632953,-1.7331390380859375,-3.5136805,[3],False,False
149.8000030517578,14.36609172821045,149.8,12.776586,-1.5895061492919922,-3.5137296,[2],False,False
149.8000030517578,14.36609172821045,150.2,13.24554,-1.1898033632042087,-3.5221646,[0],False,False
