filenumber,particle_id,mc_z,mc_r,pred_z,pred_r,action_z,action_r,reward
0,4.82E+17,-2.26172996,3.198195934,,,0
0,4.82E+17,-5.10309982,7.212370396,,,0
0,4.82E+17,-8.18220997,11.56981182,-8.18220997,11.56981182,-8.18220997,11.56981182,0
0,4.82E+17,-12.1408997,17.12324142,-12.1408997,17.12324142,-12.1408997,17.12324142,0
0,4.82E+17,-18.5,26.035532,-18.5,26.035532,-18.5,26.035532,0
0,4.82E+17,-25.7000008,35.91416168,-25.5799999,36.04280472,-25.5799999,36.04280472,-0.17592394
0,4.82E+17,-25.920002,36.25936508,-35.2000008,49.62751007,-35.2000008,49.62751007,-16.2734655
0,4.82E+17,-36.1200027,49.99529266,-46.6399994,65.76933289,-46.6399994,65.76933289,-18.9602393
0,4.82E+17,-36.3400002,50.31674576,-47.1599998,65.95820618,-47.1599998,65.95820618,-19.0191398
0,4.82E+17,-48.5,65.89627838,-86.1800003,82.50944519,-86.1800003,82.50944519,-41.1798462
0,3.51E+17,59.75,5.384536743,,,0
0,3.51E+17,60.25,5.428927422,,,0
0,3.51E+17,69.75,6.280228138,69.80000305,6.278927803,69.80000305,6.278927803,-0.05001996
0,3.51E+17,70.25,6.325133801,82.25,7.387008667,82.25,7.387008667,-12.0468908
0,3.51E+17,81.75,7.358294487,96.25,8.635428429,96.25,8.635428429,-14.5561352
0,3.51E+17,82.25,7.402965546,110.25,9.883580208,110.25,9.883580208,-28.1096682
0,3.51E+17,96.25,8.668826103,129.8000031,11.62507153,129.8000031,11.62507153,-33.6799954
0,3.51E+17,110.25,9.942022324,130.1999969,11.71371841,130.1999969,11.71371841,-20.0285118
0,3.51E+17,129.8000031,11.72634602,254.8500061,39.18398666,254.8500061,39.18398666,-3
0,5.90E+17,1.953729987,3.172918797,,,0
0,5.90E+17,3.3678298,7.108774662,,,0
0,5.90E+17,3.435060024,7.296321869,5.017940044,11.70183086,5.017940044,11.70183086,-4.68124115
0,5.90E+17,4.94562006,11.50060081,6.97165966,17.13680649,6.97165966,17.13680649,-5.98929469
0,5.90E+17,5.017940044,11.70183086,10,25.60211182,10,25.60211182,-14.7661346
0,5.90E+17,6.95483017,17.087883,10.23999977,26.16175842,10.23999977,26.16175842,-9.65026189
0,5.90E+17,6.973020077,17.13761139,14.56000042,36.00681686,14.56000042,36.00681686,-20.337384
0,5.90E+17,7.023690224,17.27915001,20.47999954,50.46986771,20.47999954,50.46986771,-35.8147456
0,5.90E+17,7.04145956,17.32925224,26.76000023,65.79898834,26.76000023,65.79898834,-52.3272029
0,5.90E+17,10,25.60211182,33.59999847,81.83621979,33.59999847,81.83621979,-60.9855297
0,5.90E+17,10.23999977,26.16175842,37.42000198,101.8764648,37.42000198,101.8764648,-3
0,5.18E+17,4.453480244,3.147332907,,,0
0,5.18E+17,4.660099983,3.336005688,,,0
0,5.18E+17,8.937540054,7.250300407,8.937540054,7.250300407,8.937540054,7.250300407,0
0,5.18E+17,13.78750038,11.69815731,13.78750038,11.69815731,13.78750038,11.69815731,0
0,5.18E+17,19.9246006,17.24367523,29.15999985,25.81197739,29.15999985,25.81197739,-12.5979523
0,5.18E+17,29.52000046,25.66954613,40.54000092,36.24731827,40.54000092,36.24731827,-15.2751325
0,5.18E+17,41.81200027,36.07328796,55.27999878,49.88471222,55.27999878,49.88471222,-19.2909933
0,5.18E+17,60.74000168,50.11983109,71.68000031,65.6648407,71.68000031,65.6648407,-3
0,6.94E+17,-15.6033001,3.197932005,,,0
0,6.94E+17,-16.5478001,3.385326862,,,0
0,6.94E+17,-36.0890007,7.266441345,-36.0890007,7.266441345,-36.0890007,7.266441345,0
0,6.94E+17,-59.7999992,11.95202065,-59.7999992,11.95202065,-59.7999992,11.95202065,0
0,6.94E+17,-69.8000031,13.91757202,-69.8000031,13.91757202,-69.8000031,13.91757202,0
0,6.94E+17,-81.8000031,16.26967621,-81.8000031,16.26967621,-81.8000031,16.26967621,0
0,6.94E+17,-121.550003,24.06012154,-121.550003,24.06012154,-121.550003,24.06012154,0
0,6.94E+17,-149.550003,29.48067665,-149.550003,29.58299828,-149.550003,29.58299828,-0.10232162
0,6.94E+17,-179.850006,35.36312866,-179.850006,35.62587738,-179.850006,35.62587738,-0.26274872
0,4.73E+17,59.79999924,5.556448936,,,0
0,4.73E+17,60.25,5.596914768,,,0
0,4.73E+17,69.80000305,6.475359917,69.75,6.459474087,69.75,6.459474087,-0.05246584
0,4.73E+17,70.25,6.515715122,70.19999695,6.501870155,70.19999695,6.501870155,-0.05188437
0,4.73E+17,81.80000305,7.574127197,82.19999695,7.626847744,82.19999695,7.626847744,-0.40345331
0,4.73E+17,82.25,7.614964962,96.19999695,8.939218521,96.19999695,8.939218521,-14.0127107
0,4.73E+17,95.80000305,8.860123634,110.25,10.20269012,110.25,10.20269012,-14.5122327
0,4.73E+17,96.25,8.899069786,129.8000031,11.94734573,129.8000031,11.94734573,-33.6881981
0,4.73E+17,110.25,10.18139076,130.1999969,11.98368549,130.1999969,11.98368549,-20.0312417
0,7.07E+17,4.416249752,3.159805059,,,0
0,7.07E+17,4.581439972,3.282653809,,,0
0,7.07E+17,9.969579697,7.271200657,9.785200119,7.157168388,9.785200119,7.157168388,-0.21679296
0,7.07E+17,15.77400017,11.55368519,10.04710007,7.341421604,10.04710007,7.341421604,-7.10918767
0,7.07E+17,23.41419983,17.19250107,15.96909904,11.52443123,15.96909904,11.52443123,-9.35716524
0,7.07E+17,35.47999954,26.0758934,23.86040115,17.12887764,23.86040115,17.12887764,-14.6650659
0,7.07E+17,35.90000153,26.3855896,24.23110008,17.34253311,24.23110008,17.34253311,-14.7627955
0,7.07E+17,48.84000015,35.83080292,40.77999878,26.61201096,40.77999878,26.61201096,-12.245397
0,7.07E+17,67.87999725,49.67467499,57.71140289,36.09305191,57.71140289,36.09305191,-16.9664609
0,8.11E+17,-59.75,5.15415287,,,0
0,8.11E+17,-60.25,5.198134422,,,0
0,8.11E+17,-69.75,6.033230305,-70.25,6.077935219,-70.25,6.077935219,-0.50199455
0,8.11E+17,-70.25,6.077935219,-81.8000031,7.100867271,-81.8000031,7.100867271,-11.5952128
0,8.11E+17,-81.75,7.073153019,-95.75,8.29204464,-95.75,8.29204464,-14.0529604
0,8.11E+17,-82.25,7.117134094,-110.25,9.532863617,-110.25,9.532863617,-28.1040166
0,8.11E+17,-95.75,8.29204464,-130.199997,11.23197269,-130.199997,11.23197269,-34.5752146
0,8.11E+17,-109.75,9.509209633,-150.199997,12.93071175,-150.199997,12.93071175,-40.5944446
0,4.01E+17,-59.7999992,3.919610262,,,0
0,4.01E+17,-60.25,3.948884487,,,0
0,4.01E+17,-69.8000031,4.563667297,-69.75,4.568082333,-69.75,4.568082333,-0.05019759
0,4.01E+17,-70.25,4.593086243,-70.1999969,4.596728325,-70.1999969,4.596728325,-0.05013552
0,4.01E+17,-81.8000031,5.341094494,-81.8000031,5.340376854,-81.8000031,5.340376854,-0.00071764
0,4.01E+17,-82.25,5.370937347,-82.1999969,5.367122173,-82.1999969,5.367122173,-0.05014839
0,4.01E+17,-95.8000031,6.243735313,-95.75,6.271769524,-95.75,6.271769524,-0.05732558
0,4.01E+17,-96.25,6.273264408,-96.1999969,6.304573059,-96.1999969,6.304573059,-0.05899607
0,4.01E+17,-109.800003,7.148171425,-109.75,7.309664726,-109.75,7.309664726,-0.16905736
